# COMSOL wave_based_room listening point golden
# table,tbl1
# expression,pate.p_t and pate.p_t/(1[m/s]*pate.Z)
# pressure_unit,Pa
# normalized_unit,1
# receiver_point_ids,122,121,53,35
# receiver_coordinate_unit,m
# receiver_coordinate,122,1.2,1.3125,1
# receiver_coordinate,121,0.20000000000000001,0.875,1
# receiver_coordinate,53,-0.80000000000000004,0.4375,1
# receiver_coordinate,35,-1.8,0,1
time,p122,p121,p53,p35,pn122,pn121,pn53,pn35
0.00012113826547482901,3.4044730150121617e-52,-2.0634720054478435e-41,-6.1182996542426175e-29,8.4994304584501252e-19,8.2713144193687118e-55,-5.0132944738771715e-44,-1.4864673601172543e-31,2.0649733864067361e-21
0.00012351352558217859,4.7118914853934819e-52,-4.77510438115342e-41,-7.0684649578097378e-29,1.1243732089712897e-18,1.1447744133609043e-54,-1.1601322597554471e-43,-1.7173141296913846e-31,2.7317133356931241e-21
0.00012588878568952817,6.1702906007134598e-52,-8.8609237649072751e-41,-7.4849545882434444e-29,1.3755320989454936e-18,1.4990987854017153e-54,-2.1527997485197464e-43,-1.8185020865508857e-31,3.3419147204701012e-21
0.00012826404579687774,7.5194556117825154e-52,-1.4579498535911958e-40,-7.0099504533601173e-29,1.5656890924642299e-18,1.82688425942238e-54,-3.5421522196093195e-43,-1.7030977777842851e-31,3.8039093597284499e-21
0.00013063930590422732,8.2453325793439325e-52,-2.2037824713554288e-40,-5.2365635751518961e-29,1.6513637759125511e-18,2.0032392078095076e-54,-5.3541848186477863e-43,-1.272245766557798e-31,4.0120597082423498e-21
0.00013301456601157689,7.4614291147907623e-52,-3.1052787284154498e-40,-1.7469402990349209e-29,1.5865504629191382e-18,1.8127864710376003e-54,-7.5444089611648444e-43,-4.2442670044580197e-32,3.8545929614167597e-21
0.00013538982611892647,3.7760794322232979e-52,-4.0975136492830045e-40,3.8305652433557851e-29,1.3271891863412322e-18,9.1741482804258945e-55,-9.9550866114747445e-43,9.3065239148585647e-32,3.2244635236667453e-21
0.00013776508622627604,-4.8318919552175034e-52,-5.0487586065998241e-40,1.1745610942049458e-28,8.3671961108702016e-19,-1.1739290464571194e-54,-1.2266177372691508e-42,2.8536469732870404e-31,2.032846479803256e-21
0.00014014034633362562,-2.1088893542790876e-51,-5.7401336099631029e-40,2.2034895615885014e-28,9.2394355715614716e-20,-5.1236378869754321e-54,-1.3945902842475956e-42,5.3534731817018986e-31,2.2447608288536133e-22
0.0001425156064409752,-4.8391362108569563e-51,-5.8490633222427722e-40,3.4422964461218162e-28,-9.0813327465472415e-19,-1.1756890696931382e-53,-1.4210552289219565e-42,8.3632080809567938e-31,-2.2063490637869879e-21
0.00014489086654832477,-9.0572862682095025e-51,-4.9421292875291559e-40,4.8225588993187966e-28,-2.1405787240134084e-18,-2.2005068678837473e-53,-1.2007116830731672e-42,1.1716615401649166e-30,-5.2006285811793206e-21
0.00014726612665567435,-1.5136410540195317e-50,-2.4843770646471926e-40,6.2270179868458681e-28,-3.5488980741504914e-18,-3.6774563994643632e-53,-6.035901517607368e-43,1.5128809491850993e-30,-8.6222013463325841e-21
0.00014964138676302392,-2.3342246942020795e-50,2.1269301922935534e-40,7.4850617506875787e-28,-5.0420704144656348e-18,-5.6710998401411074e-53,5.1674688831233081e-43,1.8185281221301212e-30,-1.2249928120664808e-20
0.0001520166468703735,-3.3681171723664924e-50,9.4961708976460342e-40,8.3735445452783081e-28,-6.4935939779616712e-18,-8.1829863274210225e-53,2.3071357866001057e-42,2.0343888593970622e-30,-1.5776467390577434e-20
0.00015439190697772307,-4.5684669589904352e-50,2.0124416601397008e-39,8.6247928909756052e-28,-7.7444139274429893e-18,-1.109928804419445e-52,4.8893140430993707e-42,2.0954307315295445e-30,-1.8815388550638947e-20
0.00015676716708507265,-5.8129512113573143e-50,3.4262695754077995e-39,7.9433477894718268e-28,-8.6098256060143631e-18,-1.41228163541237e-52,8.3242701054611263e-42,1.9298706971505898e-30,-2.0917943649208852e-20
0.00015914242719242223,-6.8706137074198009e-50,5.1726167301504896e-39,6.0323982025652607e-28,-8.8906331464194746e-18,-1.6692453127842083e-52,1.2567096040210131e-41,1.4655972309439409e-30,-2.1600177712389398e-20
0.0001615176872997718,-7.3667395856214799e-50,7.1679892118096905e-39,2.6299573344858323e-28,-8.3884965819516909e-18,-1.7897812404328184e-52,1.7414939776019659e-41,6.3895950789257344e-31,-2.0380215213682439e-20
0.00016389294740712138,-6.751593369260105e-50,9.2416911279658893e-39,-2.4463562834790547e-28,-6.9249871238461415e-18,-1.6403288069145058e-52,2.2453088260364165e-41,-5.9435283855176265e-31,-1.6824555694475565e-20
0.00016626820751447095,-4.2819738103670248e-50,1.1116065554587495e-38,-9.2484858574507147e-28,-4.3634155012805635e-18,-1.0403240549968478e-52,2.7006961988793723e-41,-2.2469596349491533e-30,-1.0601106660059679e-20
0.00016864346762182053,9.7211754161854972e-51,1.2393506963890312e-38,-1.7645140778398788e-27,-6.3203640045538725e-19,2.361801607430879e-53,3.011056113675975e-41,-4.2869632600580152e-30,-1.5355597678702315e-21
0.00017101872772917011,1.0080353152473945e-49,1.2555547304548188e-38,-2.7272640122611043e-27,4.2531954249883787e-18,2.4490653917575186e-52,3.0504245151963528e-41,-6.6260058606926734e-30,1.0333322218144749e-20
0.00017339398783651968,2.4147164536059283e-49,1.0979889626271424e-38,-3.7496305410650627e-27,1.0168488536641017e-17,5.8666580505489027e-52,2.6676116681903363e-41,-9.1098895555516593e-30,2.4704782644900433e-20
0.00017576924794386926,4.4131714577348844e-49,6.9811965051355632e-39,-4.7390213968114694e-27,1.6867087046436929e-17,1.0721990908005064e-51,1.6961118817141798e-41,-1.151365742665566e-29,4.0979317411168442e-20
0.00017814450805121883,7.0578582945574567e-49,-1.1951018064377195e-40,-5.5743407413700851e-27,2.3971585567836386e-17,1.7147371949848051e-51,-2.9035515219575304e-43,-1.3543101898372413e-29,5.8240003809126311e-20
0.00018051976815856841,1.0325241869959004e-48,-1.0894026101357909e-38,-6.1100118084880775e-27,3.0975953761681318e-17,2.5085621647130722e-51,-2.6467507534883166e-41,-1.4844537921496788e-29,7.5257419246067342e-20
0.00018289502826591798,1.4068252702138176e-48,-2.5675176484217902e-38,-6.1840070086743518e-27,3.725913330574308e-17,3.4179428333669044e-51,-6.2378951613746119e-41,-1.5024312460336132e-29,9.0522675669929738e-20
0.00018527028837326756,1.7964197163395887e-48,-4.4399029250224631e-38,-5.6302334322597912e-27,4.2111420278280642e-17,4.364479388580148e-51,-1.0786936163805791e-40,-1.3678895608016986e-29,1.0231151671108029e-19
0.00018764554848061714,2.1461024410434972e-48,-6.6431668187372535e-38,-4.295255892076406e-27,4.4773962337032942e-17,5.2140486905818693e-51,-1.6139861075649306e-40,-1.0435509941876595e-29,1.0878027778676615e-19
0.00019002080858796671,2.3729787403156492e-48,-9.0397417874098825e-38,-2.0588757430393901e-27,4.4490618114447386e-17,5.7652544711264561e-51,-2.1962443604008463e-40,-5.0021276555864681e-30,1.0809188074452719e-19
0.00019239606869531629,2.3634330897532531e-48,-1.1403192798216997e-37,1.1424558771403479e-27,4.0570205708772923e-17,5.7420629002751536e-51,-2.7704550044258984e-40,2.7756459600105637e-30,9.8567069263296717e-20
0.00019477132880266586,1.9732335148722906e-48,-1.3408945969874971e-37,5.2909914147046787e-27,3.2455891024870655e-17,4.7940561585818535e-51,-3.2577614115342499e-40,1.2854692455550726e-29,7.8852990828160001e-20
0.00019714658891001544,1.0324330881914103e-48,-1.4633812965920467e-37,1.0263979253263227e-26,1.9797237780340299e-17,2.5083408362279164e-51,-3.5553481452673636e-40,2.4936781470513187e-29,4.809824533610374e-20
0.00019952184901736501,-6.4314646889341893e-49,-1.4567869515933194e-37,1.5813570992410642e-26,2.5193759626773277e-18,-1.5625521596050024e-51,-3.5393268989147703e-40,3.8419754597693499e-29,6.120932853929368e-21
0.00020189710912471459,-3.2321402258200316e-48,-1.2642061263431242e-37,2.1553388019827365e-26,-1.911703298098932e-17,-7.8526244553450721e-51,-3.0714434556441312e-40,5.2364888289182137e-29,-4.6445658360032366e-20
0.00020427236923206417,-6.8782195597009157e-48,-8.2742551759007238e-38,2.6954954544778517e-26,-4.4471729301302576e-17,-1.6710931874880748e-50,-2.0102660777212644e-40,6.5488227756993492e-29,-1.0804598955612872e-19
0.00020664762933941374,-1.1650376051698305e-47,-9.3524937990276303e-39,3.1357093885798426e-26,-7.250324627159269e-17,-2.8305092448246616e-50,-2.2722288141466546e-41,7.6183415660346034e-29,-1.7614977228278109e-19
0.00020902288944676332,-1.7493374893380488e-47,9.7655463376868319e-38,3.3990943938114954e-26,-1.0177559886599888e-16,-4.2500910819680488e-50,2.3725817146955378e-40,8.2582468265585415e-29,-2.4726821881923929e-19
0.00021139814955411289,-2.417039750352516e-47,2.3977437128924756e-37,3.4022437288940669e-26,-1.3049776401324578e-16,-5.872302600467726e-50,5.8254220429846353e-40,8.2658982723373834e-29,-3.1704996115948927e-19
0.00021377340966146247,-3.1201876027968801e-47,4.1494363416409305e-37,3.0612898625994044e-26,-1.5659848573945824e-16,-7.5806307162217699e-50,1.0081235038000318e-39,7.4375361093279999e-29,-3.8046279334173534e-19
0.00021614866976881204,-3.7806867463502327e-47,6.1638282523780369e-37,2.2996857892443222e-26,-1.7783642431754509e-16,-9.1853419493445891e-50,1.4975287299266369e-39,5.5871860768812496e-29,-4.320612835703234e-19
